sNom=sGen,sNom=sDat,sNom=sAcc,sNom=sVoc,sNom=sLoc,sNom=sIns,sNom=pNom,sNom=pGen,sNom=pDat,sNom=pAcc,sNom=pVoc,sNom=pLoc,sNom=pIns,sGen=sDat,sGen=sAcc,sGen=sVoc,sGen=sLoc,sGen=sIns,sGen=pNom,sGen=pGen,sGen=pDat,sGen=pAcc,sGen=pVoc,sGen=pLoc,sGen=pIns,sDat=sAcc,sDat=sVoc,sDat=sLoc,sDat=sIns,sDat=pNom,sDat=pGen,sDat=pDat,sDat=pAcc,sDat=pVoc,sDat=pLoc,sDat=pIns,sAcc=sVoc,sAcc=sLoc,sAcc=sIns,sAcc=pNom,sAcc=pGen,sAcc=pDat,sAcc=pAcc,sAcc=pVoc,sAcc=pLoc,sAcc=pIns,sVoc=sLoc,sVoc=sIns,sVoc=pNom,sVoc=pGen,sVoc=pDat,sVoc=pAcc,sVoc=pVoc,sVoc=pLoc,sVoc=pIns,sLoc=sIns,sLoc=pNom,sLoc=pGen,sLoc=pDat,sLoc=pAcc,sLoc=pVoc,sLoc=pLoc,sLoc=pIns,sIns=pNom,sIns=pGen,sIns=pDat,sIns=pAcc,sIns=pVoc,sIns=pLoc,sIns=pIns,pNom=pGen,pNom=pDat,pNom=pAcc,pNom=pVoc,pNom=pLoc,pNom=pIns,pGen=pDat,pGen=pAcc,pGen=pVoc,pGen=pLoc,pGen=pIns,pDat=pAcc,pDat=pVoc,pDat=pLoc,pDat=pIns,pAcc=pVoc,pAcc=pLoc,pAcc=pIns,pVoc=pLoc,pVoc=pIns,pLoc=pIns,masc,fem,neut
pán.m? , 0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
pán.m?-1 , 0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
průvodce.m? , 1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
předseda.m? , 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
hrdina.m? , 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
týden.m? , 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
týden.m?-1 , 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
přítel.m? , 0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
přítel.m?-1 , 0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
klíč.m? , 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
