% attribute groups are separated by ";".
% gender value is separated by ":".
# sNom, sGen, sDat, sAcc, sVoc, sLoc, sIns; pNom, pGen, pDat, pAcc, pVoc, pLoc, pIns

%% from Kanazashi's database, unlisted in Fronek
m?: pán, pána, pánovi, pána, páne, pánovi, pánem; pánové, pánů, pánům, pány, pánové, pánech, pány
m?: pán, pána, pánu,   pána, páne, pánu,   pánem; páni,   pánů, pánům, pány, páni,   pánech, pány
m?: průvodce, průvodce, průvodci, průvodce, průvodce, průvodci, průvodcem; průvodcové, průvodců, průvodcům, průvodce, průvodcové, průvodcích, průvodci
m?: předseda, předsedy, předsedovi, předsedu, předsedo, předsedovi, předsedou; předsedové, předsedů, předsedům, předsedy, předsedové, předsedech, předsedy
m?: hrdina, hrdiny, hrdinovi, hrdinu, hrdino, hrdinovi, hrdinou; hrdinové, hrdinů, hrdinům, hrdiny, hrdinové, hrdinech, hrdiny
m?: týden, týdne, týdni, týden, týdni, týdni, týdnem, týdny, týdnů, týdnům, týdny, týdny, týdnech, týdny
m?: týden, týdne, týdnu, týden, týdni, týdnu, týdnem, týdny, týdnů, týdnům, týdny, týdny, týdnech, týdny
m?: přítel, přítele, přítelovi, přítele, příteli, přítelovi, přítelem; přítelé, přítel, přítelům, přítele, přítelé, přítelích, příteli
m?: přítel, přítele, příteli, přítele, příteli, příteli, přítelem; přítelé, přítel, přítelům, přítele, přítelé, přítelích, příteli
m?: klíč, klíče, klíči, klíč, klíči, klíči, klíčem; klíče, klíčů, klíčům, klíče, klíče, klíčích, klíči
f?: tramvaj, tramvaje, tramjaji, tramvaj, tramvaji, tramvaji, tramvají; tramvaje, tramvají, tramvajím, tramvaje, tramvaje, tramvajích, tramvajemi
f?: růže, růže, růži, růži, růže, růži, růží; růže, růží, růžím, růže, růže, růžích, růžemi
f?: noc, noci, noci, noc, noci, noci, nocí; noci, nocí, nocem, noci, noci, nocích, nocemi
f?: věc, věci, věci, věc, věci, věci, věcí; věci, věcí, věcem, věci, věci, věcích, věcmi
f?: paní, paní, paní, paní, paní, paní, paní; paní, paní, paním, paní, paní, paních, paními
f?: hudba, hudby, hudbě, hudbu, hudbo, hudbě, hudbou; hudby, hudben, hudbám, hudby, hudby, hudbách, hudbami
n?: město, města, městu, město, město, městu, městem; města, měst, městům, města, města, městech, městy
n?: město, města, městu, město, město, městě, městem; města, měst, městům, města, města, městech, městy
n?: nádraží, nádraží, nádraží, nádraží, nádraží, nádraží, nádražím; nádraží, nádraží, nádražím, nádraží, nádraží, nádražích, nádražími
n?: centrum, centra, centru, centrum, centrum, centru, centrem; centra, center, centrům, centra, centra, centrech, centry
n?: okno, okna, oknu, okno, okno, okně, oknem; okna, oken, oknům, okna, okna, oknech, okny
n?: okno, okna, oknu, okno, okno, oknu, oknem; okna, oken, oknům, okna, okna, oknech, okny
n?: kotě, kotěte, kotěti, kotě, kotě, kotěti, kotětem; koťata, koťat, koťatům, koťata, koťata, koťatech, koťaty
n?: dítě, dítěte, dítěti, dítě, dítě, dítěti, dítětem, děti, dětí, dětem, děti, děti, dětech, dětmi
n?: oko, oka, oku, oko, oko, oku, okem; oči, očí, očím, oči, oči, očích, očima
n?: ucho, ucha, uchu, ucho, ucho, uchu, uchem; uši, uší, uším, uši, uši, uších, ušima
f?: ruka, ruky, ruce, ruku, ruko, ruce, rukou; ruce, rukou, rukám, ruce, ruce, rukou, rukama
f?: ruka, ruky, ruce, ruku, ruko, ruce, rukou; ruce, rukou, rukám, ruce, ruce, rukách, rukama
f?: noha, nohy, noze, nohu, noho, noze, nohou; nohy, noh, nohám, nohy, nohy, nohou, nohama
f?: noha, nohy, noze, nohu, noho, noze, nohou; nohy, noh, nohám, nohy, nohy, nohách, nohama
n?: koleno, kolena, kolenu, koleno, koleno, kolenu, kolenem; kolena, kolenou, kolenům, kolena, kolena, kolenou, koleny
n?: koleno, kolena, kolenu, koleno, koleno, kolenu, kolenem; kolena, kolenou, kolenům, kolena, kolena, kolenech, koleny
n?: koleno, kolene, koleni, koleno, koleno, koleni, kolenem; kolena, kolenou, kolenům, kolena, kolena, kolenou, koleny
n?: koleno, kolene, koleni, koleno, koleno, koleni, kolenem; kolena, kolenou, kolenům, kolena, kolena, kolenech, koleny
n?: prso, prsa, prsu, prso, prso, prsu, prsem; prsa, prsou, prsům, prsa, prsa, prsou, prsy
n?: prso, prsa, prsu, prso, prso, prsu, prsem; prsa, prsou, prsům, prsa, prsa, prsou, prsy
m?: člověk, člověka, člověku, člověka, člověče, člověku, člověkem; lidé, lidí, lidem, lidi, lidé, lidech, lidemi
f?: Vánoc*, Vánoc*, Vánoc*, Vánoc*, Vánoc*, Vánoc*, Vánoc*; Vánoce, Vánoc, Vánocům, Vánoce, Vánoce, Vánocích, Vánocemi
f?: Vánoc*, Vánoc*, Vánoc*, Vánoc*, Vánoc*, Vánoc*, Vánoc*; Vánoce, Vánoc, Vánocům, Vánoce, Vánoce, Vánocích, Vánocí
m?: peníz, peníze, penízi, peníz, penízi, penízi, penízem; peníze, peněz, penízům, peníze, peníze, penízích, penízí

%% data from Fronek
%% masculine
m01: student, studenta, studentovi, studenta, studente, studentovi, studentem; studenti, studentů, studentům, studenty, studenti, studentech, studenty
m01: student, studenta, studentu,   studenta, studente, studentu,   studentem; studenti, studentů, studentům, studenty, studenti, studentech, studenty
m02: divák, diváka, divákovi, diváka, diváku, divákovi, divákem; diváci, diváků, divákům, diváky, diváci, divácích, diváky
m02: divák, diváka, diváku, diváka, diváku, diváku, divákem; diváci, diváků, divákům, diváky, diváci, divácích, diváky
m03: filantrop, filantropa, filantropovi, filantropa, filantrope, filantropovi, filantropem; filantropové, filantropů, filantropům, filantropy, filantropové, filantropech, filantropy
m03: filantrop, filantropa, filantropu, filantropa, filantrope, filantropu, filantropem; filantropové, filantropů, filantropům, filantropy, filantropové, filantropech, filantropy
m04: děkan, děkana, děkanovi, děkana, děkane, děkanovi, děkanem; děkani, děkanů, děkanům, děkany, děkani, děkanech, děkany
m04: děkan, děkana, děkanu, děkana, děkane, děkanu, děkanem; děkanové, děkanů, děkanům, děkany, děkanové, děkanech, děkany
m05: akademik, akademika, akademikovi, akademika, akademiku, akademikovi, akademikem; akademici, akademiků, akademikům, akademiky, akademici, akademicích, akademiky
m05: akademik, akademika, akademiku, akademika, akademiku, akademiku, akademikem; akademikové, akademiků, akademikům, akademiky, akademikové, akademicích, akademiky
m06: synáček, synáčeka, synáčekovi, synáčeka, synáčeku, synáčekovi, synáčekem; synáčekové, synáčeků, synáčekům, synáčeky, synáčekové, synáčecích, synáčeky
m06: synáček, synáčeka, synáčeku, synáčeka, synáčeku, synáčeku, synáčekem; synáčcí, synáčeků, synáčekům, synáčeky, synáčcí, synáčecích, synáčeky
m07: občan, občana, občanovi, občana, občane, občanovi, občanem; občané, občanů, občanům, občany, občané, občanech, občany
m07: občan, občana, občanu, občana, občane, občanu, občanem; občané, občanů, občanům, občany, občané, občanech, občany
m08: holíč, holíče, holíčovi, holíče, holíči, holíčovi, holíčem; holíči, holíčů, holíčům, holíče, holíči, holíčích, holíči
m08: holíč, holíče, holíči, holíče, holíči, holíči, holíčem; holíči, holíčů, holíčům, holíče, holíči, holíčích, holíči
m09: letec, letce, letcovi, letce, letče, letcovi, letcem; letci, letců, letcům, letce, letci, letcích, letci
m09: letec, letce, letcii, letce, letče, letci, letcem; letci, letců, letcům, letce, letci, letcích, letci
m10: muž, muže, mužovi, muže, muži, mužovi, mužem; mužové, mužů, mužům, muže, mužové, mužích, muži
m10: muž, muže, muži,   muže, muži, muži,   mužem; muži,   mužů, mužům, muže, muži,   mužích, muži
m11: učitel, učitele, učitelovi, učitele, učiteli, učitelovi, učitelem; učitelé, učitelů, učitelům, učitele, učitelé, učitelích, učiteli
m11: učitel, učitele, učiteli, učitele, učiteli, učiteli, učitelem; učitelé, učitelů, učitelům, učitele, učitelé, učitelích, učiteli
m12: starosta, starosty, starostovi, starostu, starosto, starostovi, starostou; starostové, starostů, starostům, starosty, starostové, starostech, starosty
m13: anarchista, anarchisty, anarchistovi, anarchistu, anarchisto, anarchistovi, anarchistou; anarchisté, anarchistů, anarchistům, anarchisty, anarchisté, anarchistech, anarchisty
m14: soudce, soudce, soudci, soudce, soudce, soudci, soudcem; soudci, soudců, soucům, soudce, soudci, soudcích, soudci
m14: soudce, soudce, soudcovi, soudce, soudce, soudcovi, soudcem; soudcové, soudců, soucům, soudce, soudcové, soudcích, soudci
m15=a: vrátný, vrátného, vrátnému, vrátného, vrátný, vrátném, vrátným; vrátní, vrátných, vrátným, vrátné, vrátní, vrátných, vrátnými
m16: vrchní, vrchního, vrchnímu, vrchního, vrchní, vrchním, vrchním; vrchní, vrchních, vrchním, vrchní, vrchní, vrchních, vrchními
m17: telefon, telefonu, telefonu, telefon, telefone, telefonu, telefonem; telefony, telefonů, telefonům, telefony, telefony, telefonech, telefony
m18: padák, padáku, padáku, padák, padáku, padáku, padákem; padáky, padáků, padákům, padáky, padáky, padáčích, padáky
m19: dárek, dárku, dárku, dárek, dárku, dárku, dárkem; dárky, dárků, dárkům, dárky, dárky, dárcích, dárky
m20: domeček, domečku, domečku, domeček, domečku, domečku, domečkem; domečky, domečků, domečkům, domečky, domečky, domečcích, domečky
m20: domeček, domečku, domečku, domeček, domečku, domečku, domečkem; domečky, domečků, domečkům, domečky, domečky, domečkách, domečky
m21: hrad, hradu, hradu, hrad, hrade, hradu, hradem; hrady, hradů, hradům, hrady, hrady, hradech, hrady
m21: hrad, hradu, hradu, hrad, hrade, hradě, hradem; hrady, hradů, hradům, hrady, hrady, hradech, hrady
m22: podpis, podpisu, podpisu, podpis, podpise, podpisu, podpisem; podpisy, podpisů, podpisům, podpisy, podpisy, podpisech, podpisy
m22: podpis, podpisu, podpisu, podpis, podpise, podpise, podpisem; podpisy, podpisů, podpisům, podpisy, podpisy, podpisech, podpisy
m23: stroj, stroje, stroji, stroj, stroji, stroji, strojem; stroje, strojů, strojům, stroje, stroje, strojích, stroji
m24: límec, límce, límci, límec, límci, límci, límcem; límce, límců, límcům, límce, límce, límcích, límci
m25: den, dne, dni, den, dni, dni, dnem; dni, dní, dnům, dni, dni, dnech, dny
m25: den, dne, dnu, den, dni, dnu, dnem; dni, dnů, dnům, dni, dni, dnech, dny
m25: den, dne, dni, den, dni, dni, dnem; dny, dnů, dnům, dny, dny, dnech, dny
m25: den, dne, dnu, den, dni, dnu, dnem; dny, dnů, dnům, dny, dny, dnech, dny
m25: den, dne, dnu, den, dni, dnu, dnem; dnové, dnů, dnům, dni, dnové, dnech, dny
m25: den, dne, dnu, den, dni, dnu, dnem; dnové, dnů, dnům, dny, dnové, dnech, dny
m25: den, dne, dnu, den, dni, dnu, dnem; dnové, dní, dnům, dni, dnové, dnech, dny
m25: den, dne, dnu, den, dni, dnu, dnem; dnové, dní, dnům, dny, dnové, dnech, dny
m26: logaritmus, logaritmu, logaritmu, logaritmus, logaritme, logaritmu, logaritmem; logaritmy, logaritmů, logaritmům, logaritmy, logaritmy, logaritmech, logaritmy
m27: virus, virusu, virusu, virus, viruse, virusu, virusem; viry, virusů, virusům, virusy, virusy, virusech, virusy
m27: virus, viru, viru, virus, vire, viru, virem; viry, virů, virům, viry, viry, virech, viry
%% feminine
f28: žena, ženy, ženě, ženu, ženo, ženě, ženou; ženy, žen, ženám, ženy, ženy, ženách, ženami
f28: magistra, magistry, magistře, magistru, magistro, magistře, magistrou; magistry, magister, magistrám, magistry, magistry, magistrách, magistrami
f39: škola, školy, škole, školu, školo, škole, školou; školy, škol; školám, školy, školy, školách, školami
f31: jídelna, jídelny, jídelně, jídelnu, jídelno, jídelně, jídelnou; jídelny, jídelnen, jídelnám, jídelny, jídelny, jídelnách, jídelnami
f32: doktorka, doktorky, doktorce, doktorku, doktorko, doktorce, doktorkou; doktorky, doktorek, doktorkám, doktorky, doktorky, doktorkách, doktorkámi
f33: klika, kliky, klice, kliku, kliko, klice, klikou; kliky, klik, klikám, kliky, kliky, klikách, klikami
f34: nůše, nůše, nůši, nůši, nůše, nůši, nůší; nůše, nůší, nůším, nůše, nůše, nůších, nůšemi
f35: kalorie, kalorie, kalorii, kalorii, kalorie, kalorii, kalorií; kalorie, kalorií, kaloriím, kalorie, kalorie, kaloriích, kaloriemi
f36: ulice, ulice, ulici, ulici, ulice, ulici, ulicí; ulice, ulic, ulicím, ulice, ulice, ulicích, ulicemi
f37: kolegyně, kolegyně, kolegyni, kolegyni, kolegyně, kolegyni, kolegyní; kolegyně, kolegyní, kolegyním, kolegyně, kolegyně, kolegyních, kolegyněmi
f37: kolegyně, kolegyně, kolegyni, kolegyni, kolegyně, kolegyni, kolegyní; kolegyně, kolegyň, kolegyním, kolegyně, kolegyně, kolegyních, kolegyněmi
f38: klec, klece, kleci, klec, kleci, kleci, klecí; klece, klecí, klecím, klece, klece, klecích, klecemi
f38: síň, síně, síni, síň, síni, síni, síní; síně, síní, síním, síně, síně, síních, síněmi
f39: kost, kosti, kosti, kost, kosti, kosti, kostí; kosti, kostí, kostem, kosti, kosti, kostech, kostmi
f40: idea, idey, ideji, ideu, ideo, ideji, ideou; idey, idejí, ideám, idey, idey, ideách, ideami
f40: idea, ideje, ideji, ideu, ideo, ideji, idejí; ideje, idejí, idejím, ideje, ideje, idejích, idejemi
f41=a: vrátná, vrátné, vrátné, vrátnou, vrátná, vrátné, vrátnou; vrátné, vrátných, vrátným, vrátné, vrátné, vrátných, vrátnými
